"","Times","DRYCRK02","ENISH04","CHQSTCR01","BRSHYCR01","INDIAN02","SOAPCR02","HONEYCR01","ENDWY01","RLSTNCR01","BNNTTCR01","BVRCR01","TIPTNCR01","SQWCR03","SSKNK04","LAKECR01","CRANECR02","YELLOWRV01","TKYRV03","LTLTKY02","PRICECR01","CLRCRK03","WNBGORV01","POUDRERV01","DRYCR02","SKKMCHCK01","ONIONCR01","HRGVCR01","CLRCRKW01","BFFLOCR02","MDCRK01","CRANECR01","FLOYDRV01","OTTERCR01","BLUECR01","MDDLRCCN02","MDDLRCCN03","BEARCRK01","NFCTFSH01","RAVENCR01","CHSLSCR01","WNISH03","NBEARCR01","ENISH05","WFLTLSIOUX01","INDCR03","SHLRK01","SHLRK03","CHQSTCR02","BEVRCRK01","LTLSIOUX04","WLLWCR02","DEERCR01","SHLRK04","OTTRCRK03","OTTRCRK04","SQWCR04","LTLCEDAR02","RHNCR01","SENGLSH01","WNBGORV04","PRICECR02","SFIOWA03","SCHQSTCR01","WNBGORV06","MAPLERV02","DEEPCRK01","OTTRCRK01","INDCR04","FLOYDRV02","PRAIRIE01","FOURMLE03","BEARCREEK01","LNGDCKCR01","MNTGMRY01","NWLNTCR02","CEDARRV04","DRYRNCRK01","INDCR01","LTLWLNT01","CLRCRKS01","WLNTCR02","BFFLOCR01","EFDSMNS01","SBVRCRK01","TRBLSM01","SOAPCR03","UIWARV01","HOOSRCR01","BOONERV01","CLRCRK02","DRYCR01","CEDARRV03","ELKRN01","CEDARRV05","MQKTARV02","DRYCRK01","TIPTNCR02","VLGARV01","RBRTSCR01","SHLRK05","NRCCNRV03","FOURMLE02","LTLSIOUX01","WNISH02","MRGNCR01","TKYRV01","WNBGORV05","SOAPCR01","INDIAN01","MDDLRCCN01","TKYRV02","BEAVER03","WAPSI03","MQKTARV05","MILLERCRK01","SKNKRV01","BRCHFLD01","LTLCEDAR01","LIMECR01","SSKNK03","OTTRCRK02","WNBGORV02","LTLWAPSI01","HEWITTCR01","BEAR01","NFMQKTA02","WOLFCRK01","MQKTARV03","ENISH02","IOWARV01","BEVRCRK02","WALNUTCR01","MUDCR01","CDRCR01","WLLWCR01","WAPSI04","BEAVER01","SQWCR02","RAPIDTRB01","SQWCR01","WLLWCR-IC01","LTLSOAP01","WLNTCR01","COFFINSCR01","WNISH01","EBRBVRDAM01","INDCR02","WFCRKDCR01","EINDNCR01","LTLSIOUX03","NSKNK01","SFIOWA01","SLVRCR01","WLFCR01","WNBGORV03","NWLNTCR01","VLGARV02","ENISH01","LTLTKY01","NENGLSH01","WATERMAN01","CLRCRKS02","SHLRK02","KEGCR01","LTLSIOUX02","SSKNK02","DUCKCR01","SSKNK01","DSMNSRV04","NORTHRV01","NFMQKTA01","HNYCRK01","SUGARCR01","SPRNGCRK01","VLGARV03","BEAVER02","DRNGDTCH01","GRANCRK01","SPRINGCR01","LTLASHER01","COONCR01","DYECRK01","BOYERRV02","MADCRK01","FOURMLE01","CEDARCRK01","OCHYDNRV01","WAPSI02","MCHKNCK01","MQKTARV01","MUDCRK01","MQKTARV04","GRNGRCR01","BLCKHWK01","DSMNSRV02","NRCCNRV02","MSQUTOCR02","SRCCNRV01","MADCRK02","WFKLTSIOUX01","WAPSI05","BRCKCMP01","SLOUGHCR01","ROCKCR02","CLRCRK01","BEAVERCRK01","MAPLERV01","ROGERSCR01","NRCCNRV01","PRAIRIECRK01","RCCNRV01","DSMNSRV01","DSMNSRV03","LTLSIOUX05","CTFSHCR01","WLNTCRK01","ROCKCR01","WBFLOYDRV01","BOYERRV01","CAMPCR01","CEDARRV02","RAPIDCR01","GENEVACR01","MSQUTOCR01"
"80","14:45:12-05",843.28,1049.34,620.27,1189.4,1058.05,707.52,667.71,965.99,651.73,827.3,909.69,1010.66,929.53,975.03,1104.3,1141.8,965.73,1121.13,1118.56,710.42,755.96,1043.52,5099.39,776.71,201.28,955.29,983.24,748.18,729.26,1026.31,985.78,-9999,742,763.43,1123.41,1196.25,738.33,690.48,823.95,1136.44,1170.05,804.24,1173.42,1130.04,769.61,916.41,948.93,669.3,968.35,1366.51,1110.95,676.01,1054.06,976.49,1082.37,970.77,1073.27,729.08,686.4,1152.68,763.79,1125.92,666.26,1209.9,1253.31,665.32,793.29,811.07,1367.52,960.52,907.19,954.93,991.69,965.38,834.12,1096.72,844.79,698.2,897.5,739.08,862.13,701.52,1090.08,1087.19,1185.87,768.81,885.1,711.58,1078.22,711.65,736.91,922.7,847.47,1130.86,839.67,810.38,1084.43,777.61,749.16,1125.87,1194.71,824.07,1162.07,1017.28,726.52,758.27,1193.98,634.23,1038.82,910.11,817.15,1082.64,709.53,967.01,821.07,599.85,1045.97,947.71,786.85,878.22,884.17,1062.72,1089.12,932.25,928.29,921.59,1043.92,896.45,947.33,617.38,1081.22,756.69,770.61,731.98,1101.74,737.64,1002.06,888.41,750.97,872.26,NA,645.61,840.05,966.76,912.87,1106.89,730.63,660.79,885.92,1319.83,809.88,1091.68,1006.05,805.23,1110.73,825.74,847.19,917.53,936.15,691.7,1232,770.83,928.38,998.75,1303.37,778.31,616.04,745.34,904.36,762.79,808.16,945.88,631.52,1136.6,1084.17,1037.33,947.4,971.08,778.21,946.09,881.69,1021.48,1059.99,570.42,770.8,666.8,1358.4,664.95,715.16,795.13,816.49,904.71,605.45,552.76,886.77,932.77,1078.18,918.43,617,1392.32,810.88,990.35,1095.13,1137.09,698.87,974.65,1199.62,1008.17,896.73,738.97,846.03,868.98,995.41,1387.62,606.25,746.34,1026.71,1244.53,1000.8,812.34,717.98,730.54,587.73,991.8
"81","14:30:12-05",843.3,1049.32,620.27,1189.4,1058.06,707.55,667.69,965.99,651.73,827.3,909.68,1010.67,929.54,975.04,1104.29,1141.8,965.72,1121.12,1118.56,710.42,755.98,1043.51,5099.38,776.71,201.31,955.31,983.23,748.18,729.27,1026.31,985.78,-9999,741.98,763.44,1123.42,1196.24,738.3,690.47,823.95,1136.42,1170.07,804.24,1173.4,1130.03,769.63,916.4,948.9,669.36,968.36,1366.49,1110.95,676,1054.04,976.5,1082.4,970.77,1073.27,729.08,686.39,1152.67,763.8,1125.9,666.26,1209.87,1253.32,665.34,793.29,811.07,1367.53,960.52,907.18,954.94,991.69,965.38,834.16,1096.71,844.82,698.18,897.5,739.08,862.13,701.54,1090.07,1087.21,1185.87,768.78,885.11,711.58,1078.23,711.64,736.93,922.69,847.48,1130.84,839.67,810.37,1084.44,777.61,749.13,1125.85,1194.72,824.06,1162.04,1017.28,726.52,758.28,1193.98,634.27,1038.84,910.12,817.14,1082.63,709.53,967.02,821.08,599.81,1045.93,947.7,786.86,878.21,884.17,1062.72,1089.12,932.23,928.3,921.58,1043.91,896.45,947.33,617.39,1081.21,756.67,770.61,731.95,1101.74,737.61,1002.08,888.41,750.98,872.26,NA,645.6,840.02,966.76,912.9,1106.89,730.66,660.78,885.89,1319.83,809.8,1091.67,1006.13,805.24,1110.74,825.73,847.2,917.52,936.14,691.7,1231.96,770.82,928.37,998.73,1303.36,778.29,616.06,745.35,904.37,762.76,808.18,945.87,631.52,1136.59,1084.18,1037.34,947.38,971.07,778.21,946.09,881.7,1021.49,1059.97,570.4,770.79,666.8,1358.4,664.95,715.13,795.12,816.51,904.71,605.45,552.76,886.78,932.76,1078.16,918.41,616.98,1392.33,810.9,990.36,1095.11,1137.09,698.87,974.63,1199.63,1008.17,896.73,738.97,846.04,868.95,995.44,1387.61,606.24,746.35,1026.69,1244.55,1000.78,812.36,718.03,730.54,587.73,991.76
"82","14:15:11-05",843.28,1049.33,620.28,1189.41,1058.07,707.56,667.7,965.96,651.72,827.29,909.69,1010.67,929.54,975.05,1104.29,1141.79,965.72,1121.11,1118.55,710.41,755.96,1043.49,5099.4,776.72,201.29,955.3,983.22,748.19,729.28,1026.29,985.78,-9999,741.98,763.41,1123.44,1196.24,738.31,690.45,823.93,1136.41,1170.06,804.26,1173.42,1130.02,769.62,916.39,948.89,669.35,968.37,1366.48,1110.97,676,1054.05,976.5,1082.4,970.79,1073.26,729.07,686.4,1152.65,763.78,1125.93,666.18,1209.88,1253.34,665.33,793.28,811.05,1367.51,960.53,907.19,954.96,991.69,965.38,834.12,1096.73,844.82,698.15,897.51,739.08,862.11,701.51,1090.08,1087.21,1185.87,768.77,885.12,711.57,1078.19,711.65,736.91,922.68,847.48,1130.83,839.67,810.37,1084.42,777.58,749.14,1125.85,1194.71,824.06,1162,1017.27,726.53,758.25,1193.97,634.26,1038.85,910.11,817.14,1082.62,709.52,967,821.08,599.85,1045.95,947.68,786.84,878.2,884.19,1062.7,1089.09,932.24,928.29,921.56,1043.89,896.43,947.33,617.39,1081.21,756.67,770.62,731.98,1101.73,737.61,1002.06,888.41,750.97,872.25,NA,645.61,840.03,966.76,912.89,1106.9,730.62,660.76,885.91,1319.82,809.86,1091.67,1006.09,805.23,1110.73,825.74,847.2,917.55,936.13,691.71,1231.98,770.83,928.35,998.74,1303.35,778.3,616.06,745.33,904.4,762.77,808.2,945.85,631.52,1136.59,1084.17,1037.33,947.39,971.07,778.2,946.09,881.7,1021.5,1059.95,570.41,770.79,666.8,1358.41,664.94,715.13,795.12,816.52,904.7,605.43,552.76,886.76,932.76,1078.21,918.44,616.99,1392.3,810.9,990.34,1095.1,1137.07,698.86,974.63,1199.63,1008.16,896.74,738.96,846.04,868.95,995.43,1387.62,606.25,746.35,1026.69,1244.51,1000.79,812.36,718.09,730.54,587.72,991.78
"83","14:00:10-05",843.29,1049.31,620.29,1189.39,1058.07,707.59,667.72,965.96,651.73,827.29,909.68,1010.67,929.54,975.06,1104.28,1141.8,965.72,1121.11,1118.56,710.41,755.96,1043.48,5099.41,776.72,201.33,955.3,983.21,748.18,729.27,1026.3,985.79,-9999,741.98,763.43,1123.38,1196.25,738.31,690.45,823.93,1136.39,1170.03,804.22,1173.4,1130.02,769.59,916.38,948.9,669.32,968.38,1366.49,1110.96,676,1054.03,976.48,1082.35,970.79,1073.26,729.06,686.42,1152.66,763.78,1125.92,666.28,1209.86,1253.32,665.31,793.28,811.07,1367.51,960.53,907.17,954.94,991.69,965.39,834.11,1096.72,844.81,698.17,897.51,739.08,862.12,701.52,1090.08,1087.19,1185.86,768.8,885.11,711.56,1078.2,711.64,736.93,922.67,847.49,1130.85,839.65,810.38,1084.45,777.61,749.13,1125.86,1194.72,824.05,1162.04,1017.24,726.52,758.26,1193.96,634.23,1038.84,910.1,817.14,1082.61,709.52,967,821.07,599.79,1045.94,947.72,786.84,878.21,884.18,1062.72,1089.11,932.24,928.3,921.54,1043.9,896.44,947.34,617.42,1081.2,756.65,770.6,732,1101.74,737.59,1002.07,888.41,750.96,872.24,NA,645.61,840.03,966.75,912.89,1106.89,730.62,660.79,885.89,1319.83,809.87,1091.66,1006.07,805.23,1110.74,825.73,847.19,917.54,936.13,691.71,1231.97,770.83,928.37,998.74,1303.33,778.29,616.06,745.32,904.38,762.8,808.15,945.87,631.49,1136.58,1084.17,1037.31,947.4,971.07,778.2,946.08,881.7,1021.51,1059.97,570.37,770.8,666.83,1358.43,664.94,715.18,795.11,816.49,904.68,605.43,552.76,886.79,932.79,1078.17,918.41,616.98,1392.34,810.89,990.34,1095.08,1137.08,698.84,974.64,1199.59,1008.14,896.72,738.97,846.06,868.94,995.45,1387.59,606.21,746.34,1026.67,1244.52,1000.79,812.34,718.14,730.52,587.73,991.79
"84","13:45:09-05",843.28,1049.33,620.31,1189.39,1058.05,707.57,667.7,965.96,651.71,827.31,909.68,1010.67,929.54,975.05,1104.28,1141.77,965.72,1121.11,1118.56,710.41,755.95,1043.46,5099.41,776.71,201.33,955.28,983.18,748.17,729.28,1026.27,985.76,-9999,741.98,763.43,1123.37,1196.24,738.3,690.44,823.94,1136.37,1170.05,804.24,1173.38,1130.02,769.58,916.38,948.89,669.38,968.36,1366.51,1110.96,676,1054.03,976.49,1082.39,970.79,1073.25,729.06,686.4,1152.66,763.78,1125.9,666.23,1209.84,1253.32,665.32,793.28,811.05,1367.52,960.53,907.16,954.94,991.69,965.37,834.15,1096.73,844.79,698.15,897.47,739.07,862.11,701.51,1090.08,1087.19,1185.88,768.79,885.1,711.55,1078.2,711.63,736.9,922.67,847.48,1130.85,839.67,810.39,1084.44,777.58,749.14,1125.84,1194.72,824.04,1162.05,1017.27,726.51,758.25,1193.95,634.25,1038.84,910.12,817.12,1082.6,709.49,967.01,821.05,599.83,1045.94,947.74,786.84,878.2,884.15,1062.72,1089.11,932.24,928.27,921.54,1043.9,896.44,947.35,617.4,1081.2,756.62,770.62,732.02,1101.72,737.59,1002.08,888.4,750.96,872.22,NA,645.63,840.04,966.76,912.88,1106.88,730.63,660.77,885.89,1319.83,809.87,1091.66,1006.06,805.21,1110.72,825.73,847.14,917.5,936.12,691.71,1231.99,770.81,928.37,998.73,1303.36,778.27,616.06,745.35,904.38,762.78,808.13,945.87,631.53,1136.58,1084.15,1037.32,947.38,971.07,778.19,946.08,881.68,1021.5,1059.98,570.36,770.82,666.85,1358.43,664.93,715.17,795.11,816.49,904.69,605.42,552.74,886.77,932.77,1078.19,918.42,617,1392.32,810.86,990.32,1095.08,1137.08,698.85,974.63,1199.69,1008.16,896.71,738.97,846.05,868.98,995.42,1387.61,606.23,746.33,1026.67,1244.53,1000.78,812.38,718.23,730.52,587.71,991.79
"85","13:30:09-05",843.3,1049.3,620.31,1189.37,1058.07,707.58,667.71,966.01,651.73,827.3,909.66,1010.67,929.54,975.05,1104.27,1141.78,965.72,1121.08,1118.55,710.41,755.94,1043.46,5099.42,776.71,201.33,955.28,983.18,748.18,729.27,1026.27,985.76,-9999,741.98,763.43,1123.38,1196.26,738.29,690.43,823.94,1136.36,1170.01,804.26,1173.39,1130.01,769.58,916.37,948.88,669.38,968.37,1366.5,1110.96,676,1054.02,976.48,1082.38,970.76,1073.26,729.06,686.39,1152.64,763.78,1125.94,666.22,1209.85,1253.33,665.31,793.26,811.05,1367.52,960.52,907.15,954.94,991.7,965.37,834.16,1096.71,844.82,698.11,897.5,739.07,862.13,701.53,1090.09,1087.2,1185.86,768.77,885.11,711.55,1078.19,711.63,736.88,922.65,847.47,1130.84,839.66,810.37,1084.44,777.59,749.08,1125.84,1194.7,824.03,1162.03,1017.23,726.5,758.24,1193.94,634.28,1038.82,910.09,817.08,1082.61,709.49,966.99,821.07,599.81,1045.93,947.72,786.85,878.2,884.14,1062.68,1089.1,932.25,928.26,921.55,1043.92,896.43,947.35,617.44,1081.22,756.63,770.56,732.03,1101.72,737.56,1002.06,888.4,750.96,872.24,NA,645.62,840.04,966.75,912.88,1106.88,730.61,660.77,885.9,1319.83,809.87,1091.66,1006.06,805.22,1110.71,825.75,847.13,917.54,936.12,691.71,1231.97,770.81,928.36,998.71,1303.35,778.3,616.06,745.35,904.37,762.78,808.12,945.85,631.52,1136.56,1084.16,1037.31,947.39,971.06,778.21,946.11,881.7,1021.5,1059.97,570.39,770.81,666.84,1358.43,664.94,715.16,795.11,816.5,904.69,605.41,552.72,886.76,932.74,1078.19,918.4,617,1392.33,810.89,990.33,1095.06,1137.08,698.83,974.63,1199.62,1008.14,896.7,738.95,846,868.96,995.43,1387.61,606.22,746.33,1026.66,1244.53,1000.78,812.38,718.23,730.53,587.71,991.8
"86","13:15:08-05",843.28,1049.31,620.3,1189.37,1058.06,707.59,667.7,965.97,651.74,827.3,909.66,1010.66,929.55,975.04,1104.27,1141.74,965.71,1121.09,1118.54,710.4,755.94,1043.46,5101.64,776.7,201.35,955.3,983.19,748.17,729.26,1026.27,985.75,-9999,741.98,763.42,1123.36,1196.24,738.3,690.45,823.93,1136.36,1170.02,804.25,1173.4,1130,769.58,916.38,948.88,669.37,968.38,1366.5,1110.95,675.99,1054.03,976.46,1082.38,970.8,1073.25,729.05,686.38,1152.64,763.78,1125.94,666.2,1208.37,1253.3,665.32,793.26,811.04,1367.53,960.54,907.19,954.97,991.7,965.39,834.16,1096.73,844.79,698.13,897.49,739.05,862.12,701.51,1090.09,1087.19,1185.87,768.83,885.09,711.54,1078.19,711.63,736.95,922.65,847.47,1130.85,839.67,810.39,1084.43,777.59,749.14,1125.85,1194.71,824.06,1162.04,1017.25,726.54,758.25,1193.94,634.26,1038.81,910.11,817.08,1082.6,709.48,966.97,821.08,599.72,1045.93,947.71,786.86,878.22,884.13,1062.7,1089.1,932.21,928.24,921.53,1043.9,896.41,947.36,617.42,1081.2,756.73,770.6,732.01,1101.73,737.55,1002.05,888.41,750.95,872.27,NA,645.65,840.03,966.75,912.89,1106.88,730.63,660.76,885.9,1319.82,809.87,1091.68,1006.06,805.24,1110.71,825.75,847.15,917.54,936.1,691.69,1231.96,770.8,928.35,998.73,1303.35,778.29,616.04,745.33,904.39,762.83,808.1,945.84,631.52,1136.56,1084.16,1037.3,947.39,971.05,778.22,946.09,881.69,1021.52,1059.96,570.39,770.86,666.83,1358.43,664.95,715.16,795.11,816.53,904.68,605.42,552.73,886.78,932.77,1078.14,918.38,616.99,1392.32,810.87,990.32,1095.05,1137.07,698.82,974.64,1199.61,1008.15,896.7,738.99,846.03,868.95,995.42,1387.6,606.22,746.34,1026.66,1244.52,1000.78,812.39,718.3,730.51,587.71,991.81
"87","13:00:07-05",843.28,1049.27,620.29,1189.39,1058.07,707.52,667.69,965.98,651.71,827.28,909.66,1010.67,929.54,975.07,1104.26,1141.75,965.71,1121.09,1118.54,710.4,755.94,1043.48,5099.41,776.7,201.38,955.3,983.17,748.19,729.28,1026.28,985.75,-9999,741.97,763.42,1123.35,1196.23,738.3,690.42,823.93,1136.35,1170.01,804.25,1173.37,1130.01,769.57,916.37,948.85,669.38,968.36,1366.49,1110.95,675.98,1054.03,976.46,1082.37,970.81,1073.25,729.06,686.4,1152.65,763.78,1125.93,666.22,1209.85,1253.31,665.3,793.27,811.01,1367.53,960.54,907.18,954.96,991.7,965.39,834.16,1096.72,844.79,698.1,897.49,739.07,862.12,701.51,1090.08,1087.18,1185.85,768.85,885.09,711.56,1078.21,711.61,736.93,922.65,847.48,1130.84,839.65,810.37,1084.45,777.56,749.07,1125.86,1194.71,824.07,1162.04,1017.25,726.53,758.25,1193.96,634.24,1038.83,910.13,817.05,1082.59,709.48,966.97,821.07,599.79,1045.98,947.72,786.84,878.22,884.13,1062.71,1089.11,932.23,928.26,921.5,1043.9,896.4,947.34,617.45,1081.2,756.69,770.6,732,1101.74,737.57,1002.05,888.44,750.96,872.24,NA,645.65,840.04,966.74,912.87,1106.88,730.62,660.75,885.91,1319.81,809.86,1091.66,1006.05,805.23,1110.71,825.73,847.14,917.52,936.09,691.69,1231.96,770.81,928.36,998.7,1303.33,778.3,616.05,745.35,904.41,762.8,808.11,945.83,631.53,1136.55,1084.15,1037.29,947.38,971.06,778.25,946.07,881.7,1021.52,1059.96,570.38,770.87,666.8,1358.44,664.93,715.16,795.09,816.51,904.67,605.41,552.76,886.76,932.77,1078.14,918.38,617,1392.34,810.86,990.31,1095.04,1137.06,698.81,974.63,1199.68,1008.13,896.68,738.95,846.04,868.97,995.45,1387.6,606.22,746.32,1026.66,1244.52,1000.78,812.38,718.4,730.5,587.71,991.78
"88","12:45:06-05",843.29,1049.28,620.28,1189.38,1058.06,707.54,667.69,966,651.73,827.29,909.68,1010.67,929.55,975.04,1104.26,1141.74,965.7,1121.09,1118.53,710.39,755.94,1043.47,5099.42,776.7,201.37,955.29,983.17,748.17,729.28,1026.27,985.73,-9999,741.96,763.41,1123.41,1196.25,738.3,690.43,823.96,1136.34,1170.04,804.25,1173.35,1130,769.54,916.38,948.86,669.38,968.33,1366.51,1110.95,675.99,1054.02,976.45,1082.36,970.8,1073.26,729.05,686.4,1152.63,763.78,1125.92,666.15,1209.85,1253.32,665.31,793.26,811.03,1367.51,960.54,907.2,954.96,991.7,965.39,834.15,1096.73,844.83,698.1,897.5,739.05,862.09,701.5,1090.09,1087.19,1185.91,768.82,885.1,711.55,1078.16,711.64,736.97,922.65,847.47,1130.86,839.63,810.36,1084.43,777.56,749.09,1125.85,1194.67,824.07,1162.04,1017.23,726.52,758.24,1193.94,634.24,1038.8,910.13,817.08,1082.59,709.46,966.97,821.07,599.8,1045.99,947.71,786.83,878.21,884.13,1062.7,1089.09,932.23,928.27,921.52,1043.89,896.43,947.32,617.45,1081.2,756.7,770.6,732.04,1101.72,737.55,1002.07,888.44,750.96,872.25,NA,645.63,840.04,966.73,912.9,1106.87,730.6,660.76,885.89,1319.81,809.86,1091.66,1006.08,805.21,1110.7,825.75,847.12,917.53,936.09,691.69,1231.96,770.8,928.35,998.71,1303.33,778.29,616.04,745.35,904.43,762.79,808.07,945.82,631.54,1136.54,1084.16,1037.29,947.39,971.05,778.22,946.08,881.69,1021.5,1059.96,570.32,770.84,666.83,1358.42,664.93,715.15,795.13,816.56,904.65,605.42,552.75,886.78,932.78,1078.16,918.39,617,1392.32,810.86,990.31,1095.04,1137.06,698.83,974.64,1199.65,1008.13,896.69,738.95,846.02,869,995.44,1387.6,606.2,746.31,1026.65,1244.53,1000.78,812.34,718.46,730.52,587.69,991.77
"89","12:30:06-05",843.26,1049.25,620.32,1189.44,1058.06,707.48,667.69,965.97,651.72,827.29,909.66,1010.66,929.54,975.05,1104.27,1141.75,965.69,1121.08,1118.53,710.4,755.94,1043.45,5099.41,776.69,201.37,955.3,983.14,748.18,729.28,1026.27,985.73,-9999,741.97,763.4,1123.34,1196.25,738.26,690.42,823.93,1136.34,1170.03,804.25,1173.41,1129.99,769.52,916.36,948.87,669.37,968.37,1366.51,1110.94,675.98,1054.01,976.46,1082.37,970.79,1073.25,729.05,686.38,1152.65,763.78,1125.92,666.22,1209.79,1253.32,665.3,793.27,811.04,1367.52,960.53,907.18,954.95,991.7,965.4,834.14,1096.73,844.82,698.07,897.5,739.06,862.11,701.51,1090.09,1087.19,1185.85,768.82,885.1,711.53,1078.16,711.65,736.96,922.65,847.48,1130.84,839.63,810.32,1084.45,777.56,749.1,1125.85,1194.68,824.05,1162.05,1017.19,726.52,758.2,1193.94,634.23,1038.81,910.09,817.07,1082.57,709.46,966.96,821.08,599.84,1045.95,947.69,786.83,878.21,884.15,1062.7,1089.08,932.28,928.24,921.49,1043.9,896.4,947.36,617.44,1081.19,756.67,770.62,732.01,1101.72,737.5,1002.06,888.41,750.96,872.25,NA,645.65,840.05,966.74,912.88,1106.88,730.61,660.78,885.91,1319.81,809.87,1091.65,1006.07,805.22,1110.69,825.74,847.12,917.55,936.07,691.68,1231.97,770.81,928.33,998.72,1303.31,778.27,616.03,745.36,904.42,762.79,808.13,945.8,631.49,1136.54,1084.16,1037.27,947.39,971.05,778.22,946.08,881.7,1021.5,1059.94,570.22,770.86,666.86,1358.43,664.94,715.16,795.13,816.51,904.61,605.41,552.74,886.76,932.77,1078.15,918.4,616.99,1392.31,810.87,990.3,1095.03,1137.06,698.82,974.63,1199.63,1008.14,896.72,738.93,846.03,869.01,995.44,1387.61,606.2,746.31,1026.61,1244.52,1000.77,812.33,718.56,730.52,587.74,991.75
"90","12:15:05-05",843.25,1049.25,620.29,1189.41,1058.07,707.49,667.71,965.97,651.71,827.3,909.65,1010.66,929.54,975.03,1104.27,1141.72,965.69,1121.09,1118.53,710.38,755.93,1043.44,5101.67,776.69,201.39,955.28,983.13,748.17,729.29,1026.26,985.72,-9999,741.96,763.4,1123.38,1196.28,738.27,690.42,823.95,1136.33,1170.06,804.24,1173.35,1129.98,769.54,916.36,948.85,669.39,968.36,1366.5,1110.94,675.98,1054,976.46,1082.4,970.78,1073.24,729.06,686.38,1152.64,763.77,1125.96,666.2,1209.82,1253.33,665.3,793.27,811,1367.52,960.53,907.19,954.96,991.7,965.39,834.14,1096.72,844.82,698.11,897.49,739.05,862.1,701.52,1090.1,1087.19,1185.87,768.83,885.12,711.53,1078.15,711.61,736.95,922.63,847.49,1130.84,839.64,810.38,1084.45,777.59,749.08,1125.85,1194.7,824.05,1162.04,1017.22,726.53,758.23,1193.92,634.23,1038.83,910.09,817.04,1082.58,709.46,966.95,821.07,599.84,1045.97,947.7,786.82,878.2,884.12,1062.69,1089.08,932.26,928.24,921.48,1043.89,896.39,947.34,617.45,1081.21,756.66,770.62,732.01,1101.71,737.52,1002.07,888.42,750.95,872.23,NA,645.66,840.03,966.74,912.87,1106.89,730.6,660.74,885.9,1319.8,809.87,1091.64,1006.08,805.23,1110.7,825.76,847.11,917.54,936.09,691.66,1231.95,770.83,928.33,998.69,1303.31,778.29,616.03,745.37,904.42,762.83,808.07,945.81,631.54,1136.55,1084.15,1037.27,947.39,971.05,778.22,946.08,881.69,1021.47,1059.96,570.3,770.86,666.86,1358.41,664.94,715.18,795.13,816.52,904.65,605.42,552.75,886.79,932.76,1078.17,918.41,617.01,1392.33,810.84,990.3,1095.01,1137.05,698.83,974.6,1199.65,1008.1,896.73,738.93,846.03,868.98,995.46,1387.6,606.21,746.34,1026.61,1244.53,1000.79,812.35,718.72,730.51,587.71,991.75
"91","12:00:04-05",843.24,1049.26,620.32,1189.42,1058.14,707.51,667.71,965.98,651.74,827.3,909.63,1010.67,929.55,975.03,1104.26,1141.72,965.68,1121.06,1118.51,710.37,755.93,1043.42,5101.66,776.69,201.37,955.29,983.12,748.17,729.29,1026.23,985.73,-9999,741.96,763.33,1123.43,1196.27,738.25,690.44,823.95,1136.32,1170.06,804.24,1173.38,1129.99,769.51,916.35,948.85,669.4,968.34,1366.5,1110.94,675.96,1053.99,976.48,1082.39,970.79,1073.26,729.05,686.41,1152.63,763.77,1125.94,666.23,1208.35,1253.31,665.29,793.29,811.01,1367.53,960.55,907.2,954.96,991.69,965.39,834.13,1096.71,844.82,698.09,897.47,739.04,862.12,701.49,1090.09,1087.18,1185.9,768.81,885.13,711.54,1078.15,711.6,736.97,922.61,847.46,1130.82,839.61,810.36,1084.43,777.59,749.05,1125.83,1194.69,824.06,1162.04,1017.19,726.51,758.19,1193.95,634.22,1038.82,910.11,817.04,1082.57,709.44,966.97,821.08,599.83,1045.94,947.7,786.85,878.21,884.12,1062.68,1089.08,932.27,928.25,921.51,1043.89,896.41,947.39,617.45,1081.19,756.67,770.63,732.01,1101.72,737.53,1002.05,888.45,750.96,872.24,NA,645.64,840.03,966.69,912.87,1106.88,730.6,660.72,885.91,1319.8,809.87,1091.66,1006.13,805.22,1110.68,825.75,847.12,917.55,936.08,691.67,1231.98,770.8,928.34,998.72,1303.31,778.3,616.04,745.39,904.41,762.82,808.04,945.81,631.55,1136.53,1084.14,1037.28,947.41,971.07,778.22,946.08,881.7,1021.5,1059.96,570.34,770.85,666.83,1358.44,664.93,715.17,795.15,816.53,904.65,605.44,552.72,886.8,932.76,1078.18,918.38,617,1392.32,810.84,990.32,1095.01,1137.05,698.8,974.61,1199.58,1008.11,896.73,738.91,846.04,868.96,995.42,1387.61,606.19,746.31,1026.62,1244.5,1000.78,812.33,718.69,730.51,587.71,991.75
