Times,DRYCRK02,ENISH04,CHQSTCR01,BRSHYCR01,INDIAN02,SOAPCR02,HONEYCR01,ENDWY01,RLSTNCR01,BNNTTCR01,BVRCR01,TIPTNCR01,SQWCR03,SSKNK04,LAKECR01,CRANECR02,YELLOWRV01,TKYRV03,LTLTKY02,PRICECR01,CLRCRK03,WNBGORV01,POUDRERV01,DRYCR02,SKKMCHCK01,ONIONCR01,HRGVCR01,CLRCRKW01,BFFLOCR02,MDCRK01,CRANECR01,OTTERCR01,BLUECR01,MDDLRCCN02,MDDLRCCN03,BEARCRK01,NFCTFSH01,RAVENCR01,CHSLSCR01,WNISH03,NBEARCR01,ENISH05,WFLTLSIOUX01,INDCR03,SHLRK01,SHLRK03,CHQSTCR02,BEVRCRK01,LTLSIOUX04,WLLWCR02,DEERCR01,SHLRK04,OTTRCRK03,OTTRCRK04,SQWCR04,LTLCEDAR02,RHNCR01,SENGLSH01,WNBGORV04,PRICECR02,SFIOWA03,SCHQSTCR01,WNBGORV06,MAPLERV02,DEEPCRK01,OTTRCRK01,INDCR04,FLOYDRV02,PRAIRIE01,FOURMLE03,BEARCREEK01,LNGDCKCR01,MNTGMRY01,NWLNTCR02,CEDARRV04,DRYRNCRK01,INDCR01,LTLWLNT01,CLRCRKS01,WLNTCR02,BFFLOCR01,EFDSMNS01,SBVRCRK01,TRBLSM01,SOAPCR03,UIWARV01,HOOSRCR01,BOONERV01,CLRCRK02,DRYCR01,CEDARRV03,ELKRN01,CEDARRV05,MQKTARV02,DRYCRK01,TIPTNCR02,VLGARV01,RBRTSCR01,SHLRK05,NRCCNRV03,FOURMLE02,LTLSIOUX01,WNISH02,MRGNCR01,TKYRV01,WNBGORV05,SOAPCR01,INDIAN01,MDDLRCCN01,TKYRV02,BEAVER03,WAPSI03,MQKTARV05,MILLERCRK01,SKNKRV01,BRCHFLD01,LTLCEDAR01,LIMECR01,SSKNK03,OTTRCRK02,WNBGORV02,LTLWAPSI01,HEWITTCR01,BEAR01,NFMQKTA02,WOLFCRK01,MQKTARV03,ENISH02,IOWARV01,BEVRCRK02,WALNUTCR01,MUDCR01,CDRCR01,WLLWCR01,WAPSI04,BEAVER01,SQWCR02,RAPIDTRB01,SQWCR01,WLLWCR-IC01,LTLSOAP01,WLNTCR01,COFFINSCR01,WNISH01,EBRBVRDAM01,INDCR02,WFCRKDCR01,EINDNCR01,LTLSIOUX03,NSKNK01,SFIOWA01,SLVRCR01,WLFCR01,WNBGORV03,NWLNTCR01,VLGARV02,ENISH01,LTLTKY01,NENGLSH01,WATERMAN01,CLRCRKS02,SHLRK02,KEGCR01,LTLSIOUX02,SSKNK02,DUCKCR01,SSKNK01,DSMNSRV04,NORTHRV01,NFMQKTA01,HNYCRK01,SUGARCR01,SPRNGCRK01,VLGARV03,BEAVER02,DRNGDTCH01,GRANCRK01,SPRINGCR01,LTLASHER01,COONCR01,DYECRK01,BOYERRV02,MADCRK01,FOURMLE01,CEDARCRK01,OCHYDNRV01,WAPSI02,MCHKNCK01,MQKTARV01,MUDCRK01,MQKTARV04,GRNGRCR01,DSMNSRV02,NRCCNRV02,MSQUTOCR02,SRCCNRV01,MADCRK02,WFKLTSIOUX01,WAPSI05,BRCKCMP01,SLOUGHCR01,ROCKCR02,CLRCRK01,BEAVERCRK01,MAPLERV01,ROGERSCR01,NRCCNRV01,PRAIRIECRK01,RCCNRV01,DSMNSRV01,DSMNSRV03,LTLSIOUX05,CTFSHCR01,WLNTCRK01,ROCKCR01,WBFLOYDRV01,BOYERRV01,CAMPCR01,CEDARRV02,RAPIDCR01,GENEVACR01,MSQUTOCR01
12:00:02-05,843.31,1049.36,620.23,1189.41,1058.06,707.62,667.71,966.01,651.7,827.36,909.85,1010.66,929.56,975.07,1104.18,1141.71,965.7,1121.09,1118.54,710.39,756,1043.27,5099.39,776.7,202.21,955.3,983.19,748.29,729.26,1026.26,985.8,741.99,763.4,1123.34,1196.24,738.33,690.82,823.98,1136.2,1170.03,804.25,1173.43,1129.94,769.6,916.55,948.98,669.36,968.39,1366.37,1110.73,676.01,1054.03,976.42,1082.37,970.78,1073.26,729.12,686.33,1152.47,763.74,1125.93,666.36,1209.7,1253.24,665.31,793.28,811.07,1367.22,960.55,907.22,954.94,991.68,965.4,834.14,1096.76,844.81,698.2,897.51,739.19,862.17,701.49,1091.24,1087.18,1185.85,768.85,885.08,711.57,1078.31,711.52,737.08,922.83,847.52,1130.83,839.7,810.33,1084.45,777.73,749.24,1125.84,1194.54,824.07,1162.54,1017.21,726.52,758.28,1193.88,634.33,1038.84,910.01,817.15,1082.61,709.87,967.03,821.07,600.16,1045.82,947.75,786.86,878.36,884.12,1062.52,1089.14,932.22,928.28,921.55,1043.92,896.42,947.32,618.15,1081.18,756.68,770.58,731.99,1101.48,738.04,1002,888.44,750.99,872.33,0,645.83,840.07,966.79,912.9,1106.57,730.65,660.82,885.96,1319.86,809.94,1091.75,1006.11,805.33,1110.54,825.74,847.19,917.53,936.13,691.7,1231.76,770.82,928.49,998.72,1303.26,778.41,616.08,745.51,905.23,763.48,808.09,945.86,631.56,1136.3,1084.22,1037.32,947.41,971.08,778.2,946.1,881.73,1021.53,1060.19,570.49,771.55,667.02,1358.08,665.43,715.17,795.18,816.51,904.78,605.43,887.72,933.03,1078.17,918.33,617,1392.17,811.19,990.34,1094.98,1137.06,698.75,974.62,1199.71,1008.09,897.01,738.99,846.17,869.98,996.11,1387.68,606.2,746.39,1026.68,1244.22,1000.8,812.33,718.18,730.55,587.7,991.76
11:45:01-05,843.31,1049.35,620.26,1189.4,1058.05,707.59,667.71,966.02,651.7,827.35,909.87,1010.67,929.55,975.1,1104.18,1141.7,965.72,1121.11,1118.56,710.42,756,1043.31,5099.42,776.7,202.12,955.3,983.2,748.29,729.26,1026.25,985.77,741.98,763.41,1123.35,1196.25,738.33,690.8,823.99,1136.21,1170.05,804.26,1173.42,1129.94,769.61,916.55,948.99,669.35,968.38,1366.39,1110.76,676,1054.05,976.45,1082.4,970.78,1073.27,729.13,686.34,1152.47,763.74,1125.94,666.34,1209.73,1253.24,665.32,793.28,811.08,1367.22,960.54,907.23,954.95,991.69,965.39,834.13,1096.77,844.81,698.19,897.51,739.19,862.14,701.49,1091.22,1087.19,1185.85,768.85,885.09,711.58,1078.3,711.52,737.07,922.86,847.53,1130.87,839.66,810.32,1084.47,777.73,749.25,1125.87,1194.55,824.06,1162.56,1017.19,726.51,758.32,1193.88,634.32,1038.85,910.04,817.2,1082.63,709.9,967.04,821.07,600.14,1045.93,947.72,786.86,878.34,884.11,1062.55,1089.15,932.22,928.31,921.55,1043.91,896.42,947.32,618.15,1081.17,756.69,770.6,731.98,1101.51,738.06,1002,888.43,750.98,872.32,0,645.82,840.07,966.77,912.9,1106.56,730.66,660.83,885.97,1319.84,809.93,1091.75,1006.12,805.34,1110.56,825.75,847.14,917.53,936.12,691.7,1231.78,770.82,928.51,998.72,1303.25,778.4,616.08,745.51,905.24,763.47,808.13,945.85,631.55,1136.29,1084.19,1037.32,947.41,971.08,778.2,946.09,881.73,1021.53,1060.18,570.47,771.57,667.03,1358.09,665.46,715.16,795.18,816.51,904.76,605.41,887.7,933.01,1078.2,918.35,617.01,1392.17,811.17,990.32,1094.97,1137.06,698.74,974.62,1199.76,1008.11,897.01,738.99,846.16,869.99,996.12,1387.68,606.2,746.38,1026.66,1244.21,1000.8,812.36,718.15,730.54,587.7,991.78
11:30:01-05,843.29,1049.33,620.26,1189.39,1058.03,707.58,667.72,966.03,651.71,827.37,909.87,1010.67,929.55,975.11,1104.19,1141.74,965.71,1121.09,1118.55,710.41,756.01,1043.3,5099.38,776.7,202.07,955.3,983.23,748.29,729.26,1026.27,985.79,741.98,763.42,1123.4,1196.25,738.32,690.69,823.98,1136.21,1170.05,804.25,1173.43,1129.94,769.6,916.55,948.99,669.38,968.38,1366.39,1110.76,675.99,1054.04,976.45,1082.42,970.79,1073.26,729.11,686.33,1152.48,763.75,1125.94,666.33,1209.92,1253.24,665.32,793.29,811.08,1367.23,960.55,907.23,954.95,991.7,965.39,834.14,1096.79,844.8,698.17,897.5,739.19,862.13,701.5,1091.24,1087.18,1185.84,768.88,885.11,711.6,1078.31,711.51,737.08,922.86,847.52,1130.88,839.68,810.31,1084.46,777.74,749.25,1125.86,1194.55,824.06,1162.56,1017.2,726.52,758.3,1193.85,634.32,1038.83,910.08,817.17,1082.65,709.91,967.08,821.08,600.13,1045.88,947.73,786.86,878.36,884.15,1062.57,1089.14,932.24,928.32,921.6,1043.92,896.43,947.34,618.15,1081.18,756.68,770.59,732,1101.5,738.09,1002.02,888.46,750.98,872.33,0,645.84,840.06,966.78,912.89,1106.57,730.66,660.83,885.98,1319.85,809.92,1091.75,1006.14,805.33,1110.54,825.74,847.06,917.53,936.17,691.7,1231.77,770.82,928.49,998.71,1303.24,778.39,616.09,745.51,905.21,763.48,808.13,945.85,631.56,1136.3,1084.2,1037.32,947.41,971.07,778.2,946.09,881.73,1021.53,1060.1,570.51,771.54,667.01,1358.07,665.45,715.14,795.19,816.51,904.83,605.42,887.7,933.02,1078.19,918.4,617,1392.17,811.19,990.33,1094.99,1137.04,698.76,974.65,1199.66,1008.13,897.01,739,846.17,869.99,996.08,1387.71,606.21,746.41,1026.68,1244.24,1000.8,812.34,718.11,730.55,587.71,991.79
11:15:00-05,843.33,1049.32,620.25,1189.41,1058.03,707.57,667.72,966.04,651.71,827.36,909.87,1010.67,929.56,975.09,1104.17,1141.74,965.71,1121.09,1118.55,710.4,756,1043.31,5099.38,776.71,202.01,955.31,983.22,748.29,729.26,1026.26,985.81,741.99,763.42,1123.44,1196.26,738.32,690.72,823.98,1136.22,1170.06,804.28,1173.43,1129.96,769.61,916.53,948.98,669.36,968.36,1366.4,1110.75,675.98,1054.06,976.47,1082.4,970.81,1073.25,729.11,686.34,1152.47,763.74,1125.94,666.32,1210.11,1253.25,665.34,793.3,811.05,1367.23,960.56,907.23,954.95,991.7,965.4,834.13,1096.8,844.81,698.2,897.51,739.17,862.13,701.5,1091.24,1087.19,1185.86,768.87,885.09,711.58,1078.32,711.51,737.08,922.86,847.51,1130.86,839.69,810.31,1084.46,777.72,749.25,1125.85,1194.54,824.07,1162.56,1017.21,726.51,758.29,1193.87,634.32,1038.82,910.08,817.22,1082.59,709.9,967.08,821.07,600.14,1045.92,947.77,786.86,878.35,884.13,1062.56,1089.14,932.22,928.31,921.6,1043.92,896.44,947.33,618.15,1081.17,756.67,770.59,732,1101.5,738.13,1002.02,888.46,750.98,872.33,0,645.82,840.06,966.77,912.9,1106.54,730.67,660.84,885.97,1319.84,809.93,1091.75,1006.14,805.33,1110.57,825.75,847.08,917.55,936.16,691.71,1231.77,770.83,928.5,998.72,1303.25,778.39,616.08,745.52,905.23,763.47,808.09,945.9,631.56,1136.3,1084.17,1037.33,947.4,971.08,778.21,946.1,881.73,1021.53,1060.11,570.48,771.55,667.01,1358.09,665.46,715.16,795.19,816.5,904.76,605.44,887.7,932.99,1078.19,918.4,617,1392.17,811.17,990.33,1094.98,1137.06,698.76,974.63,1199.81,1008.15,897,738.97,846.17,869.97,996.09,1387.7,606.22,746.38,1026.66,1244.24,1000.8,812.36,718.16,730.56,587.71,991.79
11:00:14-05,843.33,1049.33,620.27,1189.42,1058.06,707.61,667.73,966.04,651.7,827.35,909.88,1010.67,929.55,975.1,1104.17,1141.74,965.72,1121.1,1118.53,710.4,756,1043.31,5099.38,776.71,201.94,955.31,983.21,748.27,729.26,1026.26,985.83,742,763.41,1123.42,1196.23,738.33,690.81,823.99,1136.22,1170.07,804.25,1173.44,1129.95,769.62,916.55,948.98,669.36,968.39,1366.4,1110.75,675.96,1054.06,976.47,1082.41,970.8,1073.28,729.09,686.35,1152.47,763.74,1125.95,666.3,1210.01,1253.23,665.3,793.3,811.06,1367.22,960.56,907.23,954.96,991.71,965.4,834.14,1096.78,844.82,698.19,897.51,739.16,862.15,701.5,1091.24,1087.18,1185.85,768.88,885.09,711.57,1078.33,711.52,737.08,922.84,847.51,1130.88,839.71,810.34,1084.46,777.72,749.21,1125.88,1194.55,824.06,1162.58,1017.23,726.52,758.29,1193.87,634.33,1038.84,910.08,817.18,1082.7,709.9,967.1,821.07,600.14,1045.88,947.75,786.86,878.35,884.16,1062.56,1089.17,932.23,928.28,921.6,1043.92,896.41,947.32,618.16,1081.18,756.66,770.62,731.99,1101.5,738.14,1002.01,888.45,750.99,872.33,0,645.82,840.06,966.78,912.89,1106.54,730.67,660.81,885.96,1319.85,809.92,1091.76,1006.14,805.34,1110.55,825.74,847.04,917.55,936.15,691.7,1231.76,770.83,928.49,998.73,1303.25,778.38,616.07,745.52,905.25,763.47,808.11,945.89,631.57,1136.3,1084.18,1037.35,947.39,971.07,778.2,946.11,881.73,1021.52,1060.16,570.49,771.56,667.02,1358.09,665.47,715.15,795.18,816.5,904.79,605.42,887.74,933.02,1078.19,918.4,617,1392.18,811.19,990.34,1094.98,1137.06,698.75,974.63,1199.79,1008.14,896.99,738.99,846.17,870.01,996.09,1387.7,606.2,746.41,1026.66,1244.24,1000.79,812.36,718.19,730.54,587.71,991.79
10:45:13-05,843.32,1049.33,620.25,1189.42,1058.07,707.58,667.72,966.05,651.71,827.37,909.88,1010.67,929.56,975.12,1104.19,1141.76,965.72,1121.09,1118.53,710.4,756.01,1043.31,5101.65,776.71,201.89,955.3,983.21,748.27,729.26,1026.27,985.84,741.97,763.41,1123.41,1196.24,738.35,690.8,824,1136.23,1170.07,804.28,1173.43,1129.96,769.58,916.55,948.98,669.37,968.38,1366.41,1110.77,675.96,1054.06,976.47,1082.41,970.8,1073.27,729.07,686.35,1152.48,763.75,1125.96,666.46,1210.19,1253.24,665.31,793.3,811.07,1367.23,960.56,907.23,954.96,991.7,965.41,834.13,1096.79,844.8,698.21,897.51,739.15,862.14,701.5,1091.26,1087.19,1185.86,768.88,885.12,711.55,1078.34,711.51,737.08,922.84,847.49,1130.87,839.69,810.32,1084.46,777.72,749.23,1125.88,1194.55,824.06,1162.59,1017.22,726.52,758.29,1193.86,634.34,1038.85,910.09,817.17,1082.72,709.9,967.09,821.06,600.14,1045.88,947.75,786.86,878.36,884.17,1062.57,1089.16,932.25,928.29,921.6,1043.91,896.44,947.35,618.16,1081.18,756.68,770.62,731.97,1101.5,738.11,1001.99,888.45,750.98,872.32,0,645.77,840.06,966.78,912.9,1106.56,730.65,660.84,885.98,1319.86,809.93,1091.76,1006.16,805.33,1110.56,825.74,847.02,917.54,936.17,691.71,1231.76,770.82,928.5,998.73,1303.25,778.4,616.08,745.52,905.28,763.46,808.12,945.89,631.57,1136.3,1084.16,1037.36,947.39,971.08,778.21,946.1,881.73,1021.53,1060.11,570.49,771.56,667.05,1358.08,665.48,715.12,795.19,816.51,904.79,605.42,887.74,933.01,1078.19,918.38,617,1392.18,811.18,990.33,1094.98,1137.05,698.78,974.65,1199.73,1008.14,897.01,738.99,846.16,870.01,996.16,1387.7,606.18,746.4,1026.67,1244.24,1000.78,812.35,718.14,730.56,587.71,991.8
10:30:13-05,843.33,1049.34,620.26,1189.4,1058.08,707.59,667.72,966.07,651.71,827.36,909.87,1010.66,929.56,975.12,1104.18,1141.75,965.71,1121.1,1118.52,710.41,756.01,1043.29,5101.66,776.68,201.85,955.29,983.21,748.27,729.26,1026.27,985.82,741.99,763.43,1123.4,1196.25,738.32,690.7,823.99,1136.25,1170.06,804.26,1173.43,1129.97,769.61,916.53,948.99,669.36,968.36,1366.4,1110.73,675.94,1054.06,976.46,1082.41,970.8,1073.28,729.06,686.34,1152.48,763.73,1125.96,666.5,1210.2,1253.22,665.29,793.3,811.07,1367.23,960.56,907.23,954.96,991.7,965.41,834.13,1096.78,844.8,698.19,897.51,739.13,862.12,701.5,1091.26,1087.19,1185.86,768.88,885.1,711.56,1078.36,711.5,737.09,922.83,847.49,1130.88,839.7,810.33,1084.47,777.68,749.23,1125.88,1194.54,824.06,1162.6,1017.24,726.53,758.31,1193.84,634.34,1038.87,910.06,817.18,1082.75,709.91,967.07,821.07,600.14,1045.89,947.75,786.85,878.34,884.17,1062.56,1089.14,932.25,928.27,921.57,1043.91,896.42,947.35,618.16,1081.18,756.69,770.61,732,1101.51,738.13,1002,888.46,750.98,872.36,0,645.83,840.07,966.77,912.9,1106.57,730.66,660.85,885.98,1319.85,809.94,1091.76,1006.16,805.33,1110.57,825.75,846.97,917.53,936.17,691.72,1231.76,770.83,928.49,998.73,1303.24,778.39,616.08,745.51,905.3,763.49,808.09,945.86,631.57,1136.3,1084.14,1037.37,947.39,971.07,778.2,946.1,881.73,1021.53,1060.09,570.52,771.57,667.05,1358.09,665.46,715.12,795.2,816.51,904.8,605.41,887.74,933.01,1078.19,918.38,617.01,1392.18,811.2,990.33,1094.98,1137.07,698.78,974.64,1199.67,1008.14,897,738.99,846.17,870.02,996.13,1387.69,606.16,746.39,1026.68,1244.23,1000.78,812.36,718.18,730.56,587.73,991.81
10:15:12-05,843.33,1049.33,620.28,1189.41,1058.08,707.59,667.71,966.05,651.71,827.35,909.88,1010.67,929.56,975.11,1104.18,1141.75,965.72,1121.11,1118.5,710.41,756.02,1043.31,5101.65,776.7,201.77,955.29,983.22,748.35,729.27,1026.26,985.84,742.01,763.42,1123.37,1196.25,738.33,690.77,824,1136.26,1170.07,804.25,1173.43,1129.96,769.6,916.56,948.99,669.37,968.38,1366.4,1110.76,675.93,1054.07,976.46,1082.41,970.79,1073.28,729.05,686.35,1152.47,763.74,1125.96,666.33,1210.2,1253.24,665.3,793.31,811.1,1367.24,960.57,907.22,954.96,991.7,965.41,834.13,1096.8,844.81,698.21,897.51,739.11,862.14,701.5,1091.27,1087.19,1185.87,768.89,885.13,711.54,1078.34,711.48,737.09,922.85,847.49,1130.87,839.66,810.33,1084.45,777.7,749.23,1125.87,1194.55,824.07,1162.59,1017.24,726.54,758.29,1193.85,634.33,1038.85,910.07,817.14,1082.83,709.91,967.08,821.07,600.16,1045.89,947.76,786.87,878.33,884.18,1062.55,1089.16,932.29,928.26,921.53,1043.92,896.41,947.36,618.17,1081.18,756.67,770.6,732,1101.5,738.12,1001.99,888.47,751,872.33,0,645.83,840.06,966.77,912.91,1106.56,730.67,660.84,885.98,1319.86,809.94,1091.74,1006.16,805.35,1110.57,825.74,847.05,917.55,936.16,691.73,1231.76,770.83,928.49,998.73,1303.24,778.39,616.08,745.53,905.29,763.49,808.04,945.87,631.57,1136.3,1084.12,1037.38,947.4,971.08,778.21,946.1,881.73,1021.53,1060.11,570.52,771.58,667.02,1358.09,665.46,715.12,795.2,816.51,904.79,605.4,887.75,933.01,1078.2,918.41,617.01,1392.18,811.19,990.33,1094.97,1137.07,698.79,974.64,1199.74,1008.12,897.01,739,846.17,870.01,996.15,1387.68,606.17,746.39,1026.68,1244.24,1000.79,812.36,718.16,730.56,587.72,991.79
10:00:11-05,843.33,1049.33,620.27,1189.39,1058.09,707.57,667.72,966.05,651.71,827.35,909.87,1010.66,929.57,975.13,1104.18,1141.75,965.7,1121.1,1118.49,710.41,756.04,1043.3,5103.89,776.71,201.72,955.31,983.22,748.4,729.26,1026.28,985.83,742,763.42,1123.37,1196.22,738.35,690.7,823.99,1136.28,1170.07,804.26,1173.43,1129.96,769.63,916.57,949.01,669.37,968.39,1366.4,1110.76,675.93,1054.06,976.47,1082.41,970.8,1073.28,729.06,686.35,1152.49,763.74,1125.96,666.35,1210.11,1253.24,665.29,793.31,811.09,1367.23,960.56,907.23,954.95,991.71,965.41,834.14,1096.77,844.8,698.19,897.5,739.09,862.16,701.53,1091.26,1087.2,1185.87,768.9,885.13,711.54,1078.35,711.51,737.09,922.87,847.47,1130.88,839.65,810.31,1084.46,777.68,749.22,1125.89,1194.55,824.07,1162.6,1017.23,726.54,758.3,1193.85,634.35,1038.85,910.08,817.15,1082.89,709.9,967.09,821.08,600.19,1045.89,947.75,786.87,878.35,884.17,1062.56,1089.15,932.31,928.27,921.53,1043.9,896.39,947.34,618.16,1081.19,756.68,770.62,731.99,1101.5,738.12,1001.98,888.48,750.99,872.34,0,645.81,840.07,966.78,912.9,1106.57,730.67,660.84,885.97,1319.86,809.94,1091.75,1006.16,805.35,1110.57,825.74,847.09,917.55,936.17,691.72,1231.76,770.84,928.49,998.73,1303.25,778.41,616.08,745.52,905.28,763.49,808.04,945.86,631.57,1136.3,1084.12,1037.36,947.4,971.08,778.21,946.1,881.73,1021.54,1060.11,570.5,771.57,667.04,1358.09,665.48,715.12,795.19,816.51,904.77,605.44,887.75,933.02,1078.2,918.42,617,1392.19,811.18,990.34,1094.98,1137.06,698.82,974.64,1199.73,1008.12,897,739,846.18,870.02,996.12,1387.69,606.19,746.39,1026.66,1244.23,1000.79,812.39,718.19,730.57,587.72,991.8
09:45:10-05,843.33,1049.33,620.28,1189.37,1058.08,707.57,667.73,966.04,651.72,827.34,909.87,1010.66,929.56,975.13,1104.18,1141.75,965.7,1121.09,1118.5,710.41,756.06,1043.29,5101.65,776.7,201.66,955.31,983.2,748.41,729.27,1026.28,985.8,741.99,763.43,1123.4,1196.23,738.34,690.77,823.99,1136.28,1170.08,804.28,1173.44,1129.95,769.65,916.57,949.01,669.36,968.39,1366.44,1110.77,675.93,1054.07,976.48,1082.4,970.79,1073.28,729.05,686.35,1152.49,763.75,1125.97,666.31,1210.2,1253.25,665.25,793.31,811.07,1367.23,960.57,907.23,954.95,991.69,965.38,834.13,1096.8,844.81,698.22,897.52,739.04,862.13,701.53,1091.3,1087.2,1185.88,768.91,885.14,711.54,1078.33,711.49,737.09,922.83,847.48,1130.89,839.6,810.34,1084.47,777.67,749.21,1125.88,1194.55,824.06,1162.6,1017.23,726.54,758.29,1193.86,634.35,1038.86,910.06,817.12,1082.95,709.9,967.09,821.09,600.19,1045.9,947.76,786.88,878.35,884.17,1062.58,1089.15,932.3,928.27,921.51,1043.92,896.36,947.36,618.17,1081.19,756.66,770.6,732,1101.5,738.11,1001.92,888.47,750.99,872.34,0,645.74,840.07,966.77,912.91,1106.57,730.66,660.86,885.97,1319.86,809.95,1091.76,1006.16,805.36,1110.57,825.74,847.17,917.55,936.16,691.73,1231.77,770.84,928.5,998.72,1303.26,778.39,616.08,745.53,905.29,763.49,808.04,945.85,631.57,1136.3,1084.11,1037.34,947.4,971.08,778.21,946.09,881.74,1021.54,1060.11,570.5,771.57,667.05,1358.1,665.48,715.11,795.21,816.51,904.75,605.42,887.76,933.02,1078.21,918.41,617.01,1392.19,811.17,990.34,1094.98,1137.06,698.84,974.65,1199.8,1008.11,897.03,739.02,846.18,870.03,996.15,1387.7,606.14,746.39,1026.67,1244.24,1000.78,812.36,718.21,730.56,587.72,991.79
09:30:09-05,843.34,1049.32,620.27,1189.42,1058.08,707.57,667.74,966.05,651.71,827.35,909.88,1010.66,929.56,975.11,1104.17,1141.75,965.7,1121.1,1118.5,710.42,756.06,1043.31,5101.64,776.71,201.6,955.31,983.2,748.4,729.26,1026.27,985.8,742,763.42,1123.46,1196.27,738.32,690.79,824,1136.27,1170.08,804.28,1173.45,1129.95,769.63,916.57,948.99,669.37,968.37,1366.45,1110.76,675.92,1054.08,976.48,1082.41,970.8,1073.28,729.04,686.35,1152.49,763.73,1125.96,666.35,1210.19,1253.22,665.26,793.32,811.09,1367.24,960.57,907.23,954.96,991.72,965.39,834.14,1096.78,844.81,698.23,897.52,738.99,862.15,701.53,1091.31,1087.2,1185.89,768.89,885.15,711.53,1078.35,711.5,737.11,922.85,847.48,1130.87,839.59,810.34,1084.46,777.65,749.2,1125.88,1194.53,824.05,1162.6,1017.23,726.54,758.28,1193.85,634.34,1038.87,910.06,817.1,1083.02,709.89,967.1,821.08,600.2,1045.89,947.78,786.88,878.34,884.18,1062.58,1089.15,932.31,928.28,921.5,1043.93,896.37,947.36,618.15,1081.18,756.69,770.61,732,1101.5,738.08,1001.87,888.47,750.99,872.34,0,645.82,840.07,966.8,912.91,1106.56,730.66,660.84,885.97,1319.86,809.95,1091.76,1006.16,805.36,1110.58,825.74,847.19,917.55,936.15,691.74,1231.76,770.85,928.51,998.72,1303.23,778.42,616.07,745.53,905.3,763.5,808.02,945.86,631.57,1136.31,1084.11,1037.33,947.4,971.08,778.2,946.11,881.74,1021.54,1060.12,570.47,771.56,667.05,1358.1,665.47,715.13,795.24,816.52,904.75,605.42,887.74,933.03,1078.2,918.41,617,1392.19,811.16,990.33,1094.98,1137.06,698.86,974.64,1199.74,1008.08,897.02,739.01,846.18,870.02,996.18,1387.68,606.14,746.39,1026.68,1244.25,1000.77,812.39,718.19,730.56,587.72,991.8
09:15:08-05,843.31,1049.33,620.28,1189.44,1058.08,707.6,667.74,966.04,651.71,827.35,909.88,1010.66,929.56,975.15,1104.19,1141.77,965.72,1121.1,1118.51,710.41,756.08,1043.32,5099.41,776.7,201.52,955.31,983.21,748.37,729.26,1026.27,985.81,742,763.38,1123.43,1196.27,738.34,690.65,824,1136.25,1170.09,804.27,1173.45,1129.93,769.64,916.58,948.99,669.38,968.38,1366.42,1110.76,675.93,1054.09,976.49,1082.38,970.8,1073.28,729.04,686.35,1152.49,763.72,1125.97,666.32,1210.11,1253.24,665.26,793.32,811.09,1367.24,960.57,907.24,954.96,991.7,965.4,834.14,1096.76,844.8,698.22,897.51,738.96,862.13,701.53,1091.32,1087.19,1185.86,768.89,885.16,711.51,1078.32,711.49,737.11,922.84,847.48,1130.85,839.57,810.34,1084.46,777.66,749.2,1125.88,1194.53,824.07,1162.61,1017.23,726.54,758.25,1193.85,634.34,1038.85,910.08,817.11,1083.05,709.87,967.1,821.08,600.19,1045.88,947.77,786.87,878.33,884.15,1062.58,1089.14,932.27,928.28,921.52,1043.91,896.39,947.36,618.17,1081.18,756.67,770.62,732.01,1101.51,738.09,1001.88,888.48,750.99,872.34,0,645.81,840.07,966.79,912.9,1106.51,730.65,660.85,885.97,1319.88,809.95,1091.75,1006.15,805.35,1110.58,825.72,847.18,917.55,936.15,691.73,1231.77,770.83,928.5,998.72,1303.24,778.4,616.06,745.54,905.27,763.49,808.02,945.89,631.56,1136.31,1084.12,1037.33,947.4,971.08,778.21,946.1,881.74,1021.55,1060.11,570.49,771.6,667.05,1358.09,665.46,715.12,795.23,816.52,904.78,605.44,887.75,933.03,1078.22,918.39,616.99,1392.18,811.18,990.35,1094.98,1137.07,698.86,974.64,1199.69,1008.08,897.03,739.03,846.18,870.05,996.19,1387.72,606.13,746.36,1026.69,1244.25,1000.78,812.39,718.21,730.56,587.72,991.79
